Date, Open, High, Low, Close
12/04/20, 12399.32, 12464.23, 12376.44, 12464.23
12/03/20, 12369.26, 12439.02, 12356.98, 12377.18
12/02/20, 12285.75, 12360.06, 12217.35, 12349.37
12/01/20, 12313.36, 12405.78, 12263.93, 12355.11
11/30/20, 12224.25, 12244.65, 12027.16, 12198.74
11/27/20, 12159.18, 12236.23, 12154.57, 12205.85
11/25/20, 12053.89, 12114.77, 12020.95, 12094.40
11/24/20, 11939.33, 12049.88, 11863.45, 12036.79
11/23/20, 11916.76, 11949.33, 11796.53, 11880.63
11/20/20, 11892.70, 11935.47, 11852.51, 11854.97
11/19/20, 11779.03, 11912.63, 11760.98, 11904.71
11/18/20, 11896.06, 11942.49, 11799.96, 11801.60
11/17/20, 11913.35, 11950.18, 11852.41, 11899.34
11/16/20, 11847.11, 11937.72, 11814.89, 11924.13
11/13/20, 11794.94, 11849.78, 11715.52, 11829.29
11/12/20, 11802.50, 11847.84, 11666.38, 11709.59
11/11/20, 11656.65, 11793.57, 11638.90, 11786.43
11/10/20, 11622.44, 11665.87, 11424.61, 11553.86
11/09/20, 12046.66, 12108.07, 11703.49, 11713.78
11/06/20, 11869.90, 11920.53, 11737.13, 11895.23
11/05/20, 11816.33, 11924.28, 11784.15, 11890.93
11/04/20, 11443.77, 11663.31, 11394.21, 11590.78
11/03/20, 11038.66, 11213.92, 11004.84, 11160.57
11/02/20, 11010.45, 11071.08, 10830.94, 10957.61
10/30/20, 11103.47, 11129.81, 10822.57, 10911.59
10/29/20, 11064.47, 11287.63, 11030.19, 11185.59
10/28/20, 11230.90, 11249.94, 10999.07, 11004.87
10/27/20, 11409.34, 11465.06, 11361.86, 11431.35
10/26/20, 11440.64, 11545.63, 11221.06, 11358.94
10/23/20, 11536.00, 11548.85, 11434.86, 11548.28
10/22/20, 11526.98, 11548.77, 11369.29, 11506.01
10/21/20, 11530.39, 11613.79, 11476.08, 11484.69
10/20/20, 11531.83, 11632.89, 11471.23, 11516.49
10/19/20, 11732.34, 11778.10, 11454.57, 11478.88
10/16/20, 11761.83, 11827.42, 11648.53, 11671.56
10/15/20, 11559.88, 11740.68, 11559.10, 11713.87
10/14/20, 11889.07, 11939.92, 11714.35, 11768.73
10/13/20, 11901.76, 11946.98, 11821.83, 11863.90
10/12/20, 11732.33, 11965.54, 11704.13, 11876.26
10/09/20, 11487.60, 11581.23, 11476.66, 11579.94
10/08/20, 11443.35, 11448.23, 11384.33, 11420.98
10/07/20, 11271.68, 11380.56, 11258.35, 11364.60
10/06/20, 11314.53, 11392.41, 11124.44, 11154.60
10/05/20, 11169.10, 11335.21, 11162.52, 11332.49
10/02/20, 11082.53, 11244.87, 11033.69, 11075.02
10/01/20, 11291.99, 11344.13, 11240.53, 11326.51
09/30/20, 11092.90, 11277.97, 11092.90, 11167.51
09/29/20, 11109.00, 11153.23, 11065.63, 11085.25
09/28/20, 11084.38, 11120.79, 11019.14, 11117.53
09/25/20, 10680.46, 10939.55, 10639.98, 10913.56
09/24/20, 10551.02, 10799.56, 10520.22, 10672.27
09/23/20, 10950.83, 10962.02, 10612.91, 10632.99
09/22/20, 10873.30, 10979.65, 10737.52, 10963.64
09/21/20, 10610.14, 10782.74, 10519.49, 10778.80
09/18/20, 10973.45, 10977.68, 10639.95, 10793.28
09/17/20, 10796.05, 10974.45, 10783.81, 10910.28
09/16/20, 11222.08, 11245.41, 11046.43, 11050.47
09/15/20, 11193.96, 11244.46, 11127.98, 11190.32
09/14/20, 11010.14, 11118.28, 10982.26, 11056.65
09/11/20, 11010.07, 11033.04, 10728.03, 10853.55
09/10/20, 11235.53, 11299.53, 10875.02, 10919.59
09/09/20, 11064.76, 11217.69, 10970.44, 11141.56
09/08/20, 10900.69, 11131.50, 10837.19, 10847.69
09/04/20, 11396.24, 11531.18, 10875.87, 11313.13
09/03/20, 11861.90, 11894.40, 11361.35, 11458.10
09/02/20, 12047.26, 12074.07, 11836.18, 12056.44
09/01/20, 11850.96, 11945.72, 11794.78, 11939.67
08/31/20, 11718.81, 11829.84, 11697.41, 11775.46
08/28/20, 11689.28, 11708.77, 11634.77, 11695.63
08/27/20, 11688.19, 11730.02, 11551.01, 11625.34
08/26/20, 11516.62, 11672.05, 11507.46, 11665.06
08/25/20, 11370.23, 11468.26, 11343.04, 11466.47
08/24/20, 11449.25, 11462.05, 11297.53, 11379.72
08/21/20, 11258.44, 11326.22, 11245.44, 11311.80
08/20/20, 11096.40, 11283.62, 11090.03, 11264.95
08/19/20, 11214.80, 11257.42, 11132.10, 11146.46
08/18/20, 11170.75, 11230.61, 11103.83, 11210.84
08/17/20, 11083.25, 11144.53, 11080.30, 11129.73
08/14/20, 11042.24, 11058.44, 10972.06, 11019.30
08/13/20, 11026.86, 11124.85, 11007.50, 11042.50
08/12/20, 10878.11, 11036.72, 10877.16, 11012.24
08/11/20, 10942.66, 10989.42, 10762.71, 10782.82
08/10/20, 11033.73, 11040.24, 10849.46, 10968.36
08/07/20, 11072.53, 11126.04, 10920.37, 11010.98
08/06/20, 10989.98, 11121.19, 10963.41, 11108.07
08/05/20, 10967.87, 11002.10, 10943.72, 10998.40
08/04/20, 10897.89, 10941.91, 10852.90, 10941.17
08/03/20, 10848.64, 10927.56, 10831.15, 10902.80
07/31/20, 10741.47, 10747.81, 10557.70, 10745.27
07/30/20, 10450.12, 10609.59, 10412.09, 10587.81
07/29/20, 10474.70, 10567.91, 10464.00, 10542.94
07/28/20, 10509.20, 10523.64, 10397.88, 10402.09
07/27/20, 10421.70, 10546.43, 10399.86, 10536.27
07/24/20, 10294.41, 10418.75, 10217.31, 10363.18
07/23/20, 10689.50, 10728.12, 10407.88, 10461.42
07/22/20, 10687.58, 10745.32, 10627.45, 10706.13
07/21/20, 10837.88, 10839.93, 10650.47, 10680.36
07/20/20, 10526.02, 10783.80, 10488.04, 10767.09
07/17/20, 10500.52, 10532.62, 10421.21, 10503.19
07/16/20, 10443.87, 10499.79, 10364.40, 10473.83
07/15/20, 10576.72, 10604.67, 10420.54, 10550.49
07/14/20, 10310.25, 10497.84, 10182.46, 10488.58
07/13/20, 10729.92, 10824.78, 10368.04, 10390.84
07/10/20, 10545.91, 10622.35, 10447.01, 10617.44
07/09/20, 10563.72, 10578.10, 10379.91, 10547.75
07/08/20, 10409.35, 10494.63, 10350.96, 10492.50
07/07/20, 10412.46, 10518.98, 10337.98, 10343.89
07/06/20, 10360.38, 10462.05, 10354.98, 10433.65
07/02/20, 10268.67, 10310.36, 10194.06, 10207.63
07/01/20, 10063.67, 10197.19, 10048.04, 10154.63
06/30/20, 9875.28, 10085.59, 9863.67, 10058.77
06/29/20, 9771.72, 9877.34, 9663.61, 9874.15
06/26/20, 9995.12, 10000.67, 9749.07, 9757.22
06/25/20, 9899.36, 10023.28, 9810.47, 10017.00
06/24/20, 10092.92, 10137.50, 9842.22, 9909.17
06/23/20, 10130.83, 10221.85, 10112.44, 10131.37
06/22/20, 9945.49, 10059.60, 9916.60, 10056.47
06/19/20, 10042.13, 10053.91, 9872.94, 9946.12
06/18/20, 9892.48, 9959.20, 9885.66, 9943.05
06/17/20, 9943.31, 9991.21, 9891.81, 9910.53
06/16/20, 9949.78, 9963.63, 9748.38, 9895.87
06/15/20, 9426.90, 9756.07, 9403.00, 9726.02
06/12/20, 9715.87, 9768.64, 9413.63, 9588.81
06/11/20, 9791.24, 9868.08, 9491.31, 9492.73
06/10/20, 10012.32, 10086.89, 9962.58, 10020.35
06/09/20, 9867.19, 10002.50, 9863.27, 9953.75
06/08/20, 9823.44, 9927.13, 9780.61, 9924.74
06/05/20, 9703.54, 9845.69, 9685.35, 9814.08
06/04/20, 9649.65, 9716.14, 9560.41, 9615.81
06/03/20, 9651.86, 9707.78, 9627.18, 9682.91
06/02/20, 9566.53, 9611.22, 9472.09, 9608.37
06/01/20, 9471.42, 9571.28, 9462.32, 9552.05
05/29/20, 9382.35, 9505.55, 9324.73, 9489.87
05/28/20, 9392.99, 9523.65, 9345.28, 9368.99
05/27/20, 9346.12, 9414.62, 9144.28, 9412.36
05/26/20, 9501.21, 9501.21, 9333.16, 9340.22
05/22/20, 9278.55, 9328.28, 9239.41, 9324.59
05/21/20, 9375.19, 9405.25, 9254.85, 9284.88
05/20/20, 9305.62, 9392.82, 9304.20, 9375.78
05/19/20, 9227.46, 9317.25, 9183.25, 9185.10
05/18/20, 9177.15, 9267.22, 9154.35, 9234.83
05/15/20, 8839.99, 9018.40, 8821.38, 9014.56
05/14/20, 8788.04, 8945.72, 8705.25, 8943.72
05/13/20, 9006.05, 9074.16, 8752.68, 8863.17
05/12/20, 9225.15, 9250.96, 9000.07, 9002.55
05/11/20, 9054.91, 9241.92, 9053.18, 9192.34
05/08/20, 9056.89, 9125.98, 9018.21, 9121.32
05/07/20, 8973.78, 9015.99, 8932.85, 8979.66
05/06/20, 8874.70, 8933.25, 8819.37, 8854.39
05/05/20, 8809.66, 8909.97, 8781.31, 8809.12
05/04/20, 8555.32, 8715.82, 8537.83, 8710.71
05/01/20, 8681.29, 8754.46, 8566.84, 8604.95
04/30/20, 8911.01, 8926.10, 8825.84, 8889.55
04/29/20, 8802.70, 8957.27, 8765.01, 8914.71
04/28/20, 8825.68, 8830.57, 8600.70, 8607.73
04/27/20, 8717.98, 8754.57, 8697.37, 8730.16
04/24/20, 8530.08, 8642.93, 8464.43, 8634.52
04/23/20, 8528.84, 8635.22, 8475.20, 8494.75
04/22/20, 8434.55, 8537.31, 8404.54, 8495.38
04/21/20, 8460.69, 8480.29, 8215.69, 8263.23
04/20/20, 8553.38, 8684.91, 8553.38, 8560.73
04/17/20, 8667.48, 8670.31, 8531.69, 8650.14
04/16/20, 8479.11, 8560.16, 8393.27, 8532.36
04/15/20, 8355.96, 8464.66, 8308.79, 8393.18
04/14/20, 8353.21, 8531.11, 8338.09, 8515.74
04/13/20, 8127.69, 8200.44, 8035.94, 8192.42
04/09/20, 8169.01, 8227.91, 8072.32, 8153.58
04/08/20, 7975.72, 8114.43, 7901.94, 8090.90
04/07/20, 8129.99, 8146.43, 7881.22, 7887.26
